program,problem,arm,language,source_sha256,input_sha256,execution_id,Omega_CC,Omega_hat_NativeTrace,Omega_hat_StateSize,Omega_hat_StateLoad
atcoder/abc338_f/long-trace-final,atcoder/abc338_f,long-trace-final,C++20 benchmark source,c2b6fe623ba3b8b051bbda878339965e844af9c568582237cda63700b1f5ffc5,530378a133b206656a4a955dc386cf1495b96624955c30a076c6989455eadc2f,sha256:23339909deda150459b38423c475ed4ef2ff72f074337c41b5c734706e1061cc,16,30701,2132,68792580
atcoder/abc370_f/long-trace-final,atcoder/abc370_f,long-trace-final,C++20 benchmark source,390393e76b4be5d0658f06aeb6bbef6fcce8b61a70d925044b22fea42c871fb7,8fa1ff7bbac69bc2fd1fecea53f430c4d5406c2f0f7130f54fd5a3cc4b6b4a51,sha256:043f569acabd481ead68bc6732168016dcc7ef0f9004d30e49df468bd128672e,22,7285388,26000721,1692446920
atcoder/abc370_g/long-trace-final,atcoder/abc370_g,long-trace-final,C++20 benchmark source,d584f3d6eeaa29fd5b8e07256a25fb5a4fb51c4121617615dc855237581a97b5,cc2403851ef8f6c9de167a86c6f76922bd0045697769cd1160695cb866b875d1,sha256:2bec58a929f57b45d9d7773b079c3275677a7fe2cf7d5d7458559135c58250af,30,378558641,1400271,205480179366224
atcoder/abc371_f/long-trace-final,atcoder/abc371_f,long-trace-final,C++20 benchmark source,3008d29ec0bb9cecb84967f652de123c58f85e8a9b79b9de1486a9649333ee52,ba4d5459d4f04105ac03f06d99d0d2bb2395f84d3686574f5d0ebdb2784dfe75,sha256:a1397dbb65148dd3969bafa006c62e6bb1b21e5e411abc64fcce64e551408931,24,38166,1028,51223170
atcoder/abc372_g/long-trace-final,atcoder/abc372_g,long-trace-final,C++20 benchmark source,d7cffdd2b7a53cf5d088a993c4ead72b1aaa4dc639e0fca32ed584bf276df84b,db0435a53474c1463d7e183656c62c7e9685c11ff815b3e1d79e200bc9803ac1,sha256:38a07d9c7e6eb972cb42d391ac55f49900a6bc9f99be6b1c9a31f2fe207d3a7b,18,54147,4057,349458837
atcoder/abc373_g/long-trace-final,atcoder/abc373_g,long-trace-final,C++20 benchmark source,27add0cc29f8494b6b133c51444916494314390deb3ec51790e6bc8937b7cfe3,79f85e785ead3fd31295a4f3065ec4eff60baaece4a118f17b93e89696eb349e,sha256:5a326374edce6eeee855d9a38aa477458909d09b66a694b2c814576d3abf8a95,41,230690,15630,3977981366
atcoder/abc376_g/long-trace-final,atcoder/abc376_g,long-trace-final,C++20 benchmark source,a5a2caaffe9d625317bfb490f670e4e72a9c6eba5fbfdeb96c5e04037a430396,e771241b56114eb53ff611f7bf8d8165db5e7ea694e3d0d176e8fdac059d5afa,sha256:199b45fb1ac8906219b35413b44246e43f983a27e2cee912c737d1d61e2b06ab,11,51808,1404098,94584047438
atcoder/abc378_g/long-trace-final,atcoder/abc378_g,long-trace-final,C++20 benchmark source,c051658c5e730cba3428946bc35dd053acaf7ed59786a2e1677d97031665a4de,a794487168e09fc73815bed115ee89286b4c3852ff9c8f6f41b4fe79844e7772,sha256:5e8c6134fe8a9db00a29b0c0bdeef38711cfa5465405e2c436b2320c5e3d9336,20,2776647,7010,735973335
atcoder/abc389_g/long-trace-final,atcoder/abc389_g,long-trace-final,C++20 benchmark source,820049802ac471c5db9559bbeed89bf74b3a8ef4e1f0a97cf95d8d71a24429fd,2120a75589670250eaa51dfef882cea553946a953e606bc6f0d0e9f2ef7dccc1,sha256:b68422e7669797dad7c4efc2fd5fb510ced9021831a158d27b63dbb9b2a73022,35,3143305,30447695,1658331683668
atcoder/abc390_g/long-trace-final,atcoder/abc390_g,long-trace-final,C++20 benchmark source,427cb60eceb1d4b9ae3fa100680ad7cc87de3bcb3738336fa3442fd18b949c5a,c11e3f4837efde2441e23a7b9da02131f53bf59fddeb7147c4ab81afe400460f,sha256:863d3bfd4258099c3e7381cc5da351cce4d1c3e61b9bca29c66c24db329d6735,32,7989051,2601108,438584818290
atcoder/arc184_c/long-trace-final,atcoder/arc184_c,long-trace-final,C++20 benchmark source,806766ccdf463ea6f768abf49f0cde8b4bc39f536ca0e19e1bec5a6f2c4e3408,47deeb9d8f284da3abced61a26635f02a6c35af527dd0b28eca6c2ef614976fe,sha256:eec7f6c653045729c98229dd130cd4b05d83cd57d7d4c59c3defa16b4a4412e4,9,206145,1347,141720453
atcoder/arc184_d/long-trace-final,atcoder/arc184_d,long-trace-final,C++20 benchmark source,cb7fff94cb5da5aba585afe21d3704564699029cee2ef66f2090596379511933,ce703e64e3eb3f83d0eb3fb1638d23503bce9eb23447c1573dbb36a71759c4c5,sha256:89d39e27a9f49645a5f6580ee5eb63e59f6ec24fb05564de9ea5a135ee1fa793,17,326507,356,116226690
